source_family,conference,year,committee_type,source_url,final_url,status,local_html_path,rows_found
HotCRP reviewer page,ICFP,2017,,https://icfp17.hotcrp.com/users/pc,https://icfp17.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2017_hotcrp_2026-06-09.html,23
HotCRP reviewer page,ICFP,2018,,https://icfp18.hotcrp.com/users/pc,https://icfp18.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2018_hotcrp_2026-06-09.html,63
HotCRP reviewer page,ICFP,2019,,https://icfp19.hotcrp.com/users/pc,https://icfp19.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2019_hotcrp_2026-06-09.html,72
HotCRP reviewer page,ICFP,2020,,https://icfp20.hotcrp.com/users/pc,https://icfp20.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2020_hotcrp_2026-06-09.html,60
HotCRP reviewer page,ICFP,2021,,https://icfp21.hotcrp.com/users/pc,https://icfp21.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2021_hotcrp_2026-06-09.html,30
HotCRP reviewer page,ICFP,2022,,https://icfp22.hotcrp.com/users/pc,https://icfp2022.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2022_hotcrp_2026-06-09.html,42
HotCRP reviewer page,ICFP,2023,,https://icfp23.hotcrp.com/users/pc,https://icfp23.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2023_hotcrp_2026-06-09.html,55
HotCRP reviewer page,ICFP,2024,,https://icfp24.hotcrp.com/users/pc,https://icfp24.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2024_hotcrp_2026-06-09.html,51
HotCRP reviewer page,ICFP,2025,,https://icfp25.hotcrp.com/users/pc,https://icfp25.hotcrp.com/users/pc,fetched,step_1_data/raw/icfp/hotcrp_htmls/icfp2025_hotcrp_2026-06-09.html,64
HotCRP reviewer page,OOPSLA,2017,,https://oopsla17.hotcrp.com/users/pc,https://oopsla17.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2017_hotcrp_2026-06-09.html,59
HotCRP reviewer page,OOPSLA,2018,,https://oopsla18.hotcrp.com/users/pc,https://oopsla18.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2018_hotcrp_2026-06-09.html,56
HotCRP reviewer page,OOPSLA,2019,,https://oopsla19.hotcrp.com/users/pc,https://oopsla19.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2019_hotcrp_2026-06-09.html,66
HotCRP reviewer page,OOPSLA,2020,,https://oopsla20.hotcrp.com/users/pc,https://oopsla20.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2020_hotcrp_2026-06-09.html,93
HotCRP reviewer page,OOPSLA,2021,,https://oopsla21.hotcrp.com/users/pc,https://oopsla2021.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2021_hotcrp_2026-06-09.html,108
HotCRP reviewer page,OOPSLA,2022,,https://oopsla22.hotcrp.com/users/pc,https://oopsla22.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2022_hotcrp_2026-06-09.html,89
HotCRP reviewer page,OOPSLA,2023,,https://oopsla23.hotcrp.com/users/pc,https://oopsla23.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2023_hotcrp_2026-06-09.html,144
HotCRP reviewer page,OOPSLA,2024,,https://oopsla24.hotcrp.com/users/pc,https://oopsla24.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2024_hotcrp_2026-06-09.html,148
HotCRP reviewer page,OOPSLA,2025,,https://oopsla2425.hotcrp.com/users/pc,https://oopsla2425.hotcrp.com/users/pc,fetched,step_1_data/raw/oopsla/hotcrp_htmls/oopsla2025_hotcrp_2026-06-09.html,114
HotCRP reviewer page,PLDI,2017,,https://pldi17.hotcrp.com/users/pc,https://pldi17.hotcrp.com/users/pc,fetched,step_1_data/raw/pldi/hotcrp_htmls/pldi2017_hotcrp_2026-06-09.html,106
