manual_match_status,n_researchers,total_accepted_citation_rows,mean_accepted_citation_rows,median_accepted_citation_rows,max_accepted_citation_rows
matched_by_manual_review,51,4186,82.07843137254902,61.0,654
needs_manual_decision,10,0,0.0,0.0,0
