conference,pc_service_rows,citation_rows,missing_citation,pc_researchers,zero_rows,zero_researchers,zero_share,mean_citations,median_citations,p75_citations,p90_citations,max_citations
ICFP,318,317,1,250,67,60,0.2113564668769716,4.334384858044164,3.0,6.0,11.0,30.0
OOPSLA,176,174,2,133,24,23,0.13793103448275862,6.132183908045977,4.0,8.0,14.0,37.0
OOPSLA1,348,344,4,298,139,130,0.40406976744186046,2.238372093023256,1.0,3.0,6.0,33.0
OOPSLA2,348,344,4,298,49,48,0.14244186046511628,5.651162790697675,3.0,8.0,13.0,67.0
PLDI,786,783,3,480,154,140,0.1966794380587484,5.197956577266922,3.0,7.0,13.0,45.0
POPL,523,523,0,378,62,55,0.11854684512428298,7.177820267686425,4.0,10.0,17.0,90.0
