conference,conference_year,doi,dblp_title,dblp_url
PLDI,2017,https://doi.org/10.1145/3062341.3062360,Efficient and precise points-to analysis: modeling the heap by merging equivalent automata.,https://dblp.org/rec/conf/pldi/TanLX17
PLDI,2017,https://doi.org/10.1145/3062341.3062359,Context transformations for pointer analysis.,https://dblp.org/rec/conf/pldi/ThiessenL17
PLDI,2017,https://doi.org/10.1145/3062341.3062365,Synthesizing highly expressive SQL queries from input-output examples.,https://dblp.org/rec/conf/pldi/WangCB17
PLDI,2017,https://doi.org/10.1145/3062341.3062381,Practical partial evaluation for high-performance dynamic language runtimes.,https://dblp.org/rec/conf/pldi/WurthingerWHWSS17
PLDI,2017,https://doi.org/10.1145/3062341.3062386,DemoMatch: API discovery from demonstrations.,https://dblp.org/rec/conf/pldi/YessenovKS17
PLDI,2017,https://doi.org/10.1145/3062341.3062379,Skeletal program enumeration for rigorous compiler testing.,https://dblp.org/rec/conf/pldi/ZhangSS17
PLDI,2018,https://doi.org/10.1145/3192366.3192412,A general path-based representation for predicting program properties.,https://dblp.org/rec/conf/pldi/0002ZLY18
PLDI,2018,https://doi.org/10.1145/3192366.3192391,Heartbeat scheduling: provable efficiency for nested parallelism.,https://dblp.org/rec/conf/pldi/AcarCGRS18
PLDI,2018,https://doi.org/10.1145/3192366.3192401,Polyhedral auto-transformation with no integer linear programming.,https://dblp.org/rec/conf/pldi/AcharyaB018
PLDI,2018,https://doi.org/10.1145/3192366.3192369,Ryū: fast float-to-string conversion.,https://dblp.org/rec/conf/pldi/Adams18
PLDI,2018,https://doi.org/10.1145/3192366.3192392,Write-rationing garbage collection for hybrid memories.,https://dblp.org/rec/conf/pldi/AkramSME18
PLDI,2018,https://doi.org/10.1145/3192366.3192383,Active learning of points-to specifications.,https://dblp.org/rec/conf/pldi/Bastani0AL18
PLDI,2018,https://doi.org/10.1145/3192366.3192370,Putting in all the stops: execution control for JavaScript.,https://dblp.org/rec/conf/pldi/BaxterNPKG18
PLDI,2018,https://doi.org/10.1145/3192366.3192406,VeriPhy: verified controller executables from verified cyber-physical system models.,https://dblp.org/rec/conf/pldi/BohrerTMMP18
PLDI,2018,https://doi.org/10.1145/3192366.3192372,Typed closure conversion for the calculus of constructions.,https://dblp.org/rec/conf/pldi/BowmanA18
PLDI,2018,https://doi.org/10.1145/3192366.3192415,Static serializability analysis for causal consistency.,https://dblp.org/rec/conf/pldi/BrutschyD0V18
PLDI,2018,https://doi.org/10.1145/3192366.3192378,Calling-to-reference context translation via constraint-guided CFL-reachability.,https://dblp.org/rec/conf/pldi/CaiZZNXS18
PLDI,2018,https://doi.org/10.1145/3192366.3192405,Advanced automata-based algorithms for program termination checking.,https://dblp.org/rec/conf/pldi/ChenHLLTTZ18
PLDI,2018,https://doi.org/10.1145/3192366.3192402,Locality analysis through static parallel sampling.,https://dblp.org/rec/conf/pldi/ChenLDP18
PLDI,2018,https://doi.org/10.1145/3192366.3192373,"The semantics of transactions and weak memory in x86, Power, ARM, and C++.",https://dblp.org/rec/conf/pldi/ChongSW18
PLDI,2018,https://doi.org/10.1145/3192366.3192399,Incremental inference for probabilistic programs.,https://dblp.org/rec/conf/pldi/Cusumano-Towner18a
PLDI,2018,https://doi.org/10.1145/3192366.3192396,"On-stack replacement, distilled.",https://dblp.org/rec/conf/pldi/DEliaD18
PLDI,2018,https://doi.org/10.1145/3192366.3192404,Gluon: a communication-optimizing substrate for distributed heterogeneous graph analytics.,https://dblp.org/rec/conf/pldi/DathathriGHDBDS18
PLDI,2018,https://doi.org/10.1145/3192366.3192421,Bounding data races in space and time.,https://dblp.org/rec/conf/pldi/DolanSM18
PLDI,2018,https://doi.org/10.1145/3192366.3192388,EffectiveSan: type and memory error detection using dynamically typed C/C++.,https://dblp.org/rec/conf/pldi/DuckY18
PLDI,2018,https://doi.org/10.1145/3192366.3192382,Program synthesis using conflict-driven learning.,https://dblp.org/rec/conf/pldi/FengMBD18
PLDI,2018,https://doi.org/10.1145/3192366.3192395,Symbolic reasoning for automatic signal placement.,https://dblp.org/rec/conf/pldi/FerlesGDS18
