plot_order,cell_id,researcher_id,name,selected_conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,source_conference,is_related_source_conference,served_on_source_pc_this_year,citation_count,total_citations,source_share_pct,citing_work_id,citing_title,citing_authors,citing_doi,referenced_work_id,cited_work_title,cited_work_doi,ref_author_name,ref_author_id,ref_orcid,cited_publication_year,cited_work_age_years,citation_key_type,citation_key_value,author_position,is_self_citation,has_citing_author_on_cited_work,citing_author_overlap_ids,citing_author_overlap_names,matched_reference_author_rows,edge_counted_in_panel
1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,POPL,False,0,7.0,17.0,41.17647058823529,W4205535283,Certifying derivation of state machines from coroutines,Mirai Ikebuchi; Andres Erbsen; Adam Chlipala,https://doi.org/10.1145/3498685,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,8.0,openalex_author_id,A5018186543,middle,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Jason Gross,1.0,1
1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,POPL,False,0,7.0,17.0,41.17647058823529,W4205535283,Certifying derivation of state machines from coroutines,Mirai Ikebuchi; Andres Erbsen; Adam Chlipala,https://doi.org/10.1145/3498685,W2966873892,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,3.0,openalex_author_id,A5018186543,middle,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Qianchuan Ye; Sorawit Suriyakarn,1.0,1
1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,POPL,False,0,7.0,17.0,41.17647058823529,W4205535283,Certifying derivation of state machines from coroutines,Mirai Ikebuchi; Andres Erbsen; Adam Chlipala,https://doi.org/10.1145/3498685,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,2.0,openalex_author_id,A5018186543,first,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Jason Gross; Peng Wang,1.0,1
1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,POPL,False,0,7.0,17.0,41.17647058823529,W4205804329,Dependently-typed data plane programming,Matthias Eichholz; Eric Hayden Campbell; Matthias Krebs; Nate Foster; Mira Mezini,https://doi.org/10.1145/3498701,W2966873892,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,3.0,openalex_author_id,A5018186543,middle,False,False,,,1.0,1
1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,POPL,False,0,7.0,17.0,41.17647058823529,W4205614912,Verified tensor-program optimization via high-level scheduling rewrites,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3498717,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,8.0,openalex_author_id,A5018186543,middle,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Jason Gross,1.0,1
1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,POPL,False,0,7.0,17.0,41.17647058823529,W4205614912,Verified tensor-program optimization via high-level scheduling rewrites,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3498717,W2966873892,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,3.0,openalex_author_id,A5018186543,middle,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Qianchuan Ye; Sorawit Suriyakarn,1.0,1
1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,POPL,False,0,7.0,17.0,41.17647058823529,W4205614912,Verified tensor-program optimization via high-level scheduling rewrites,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3498717,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,2.0,openalex_author_id,A5018186543,first,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Jason Gross; Peng Wang,1.0,1
1,4,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,ICFP,ICFP,False,0,3.0,12.0,25.0,W4386317219,"Modularity, Code Specialization, and Zero-Cost Abstractions for Program Verification",Son Ho; Aymeric Fromherz; Jonathan Protzenko,https://doi.org/10.1145/3607844,W2839528116,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,4.0,openalex_author_id,A5018186543,middle,False,True,A5055019834,Aseem Rastogi; Chris Hawblitzel; Clément Pit-Claudel; Cătălin Hriţcu; Danel Ahman; Guido Martínez; Jonathan Protzenko; Monal Narasimhamurthy; Nick Giannarakis; Nikhil Swamy; Tahina Ramananandro; Victor Dumitrescu; Zoe Paraskevopoulou,1.0,1
1,4,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,ICFP,ICFP,False,0,3.0,12.0,25.0,W4386317219,"Modularity, Code Specialization, and Zero-Cost Abstractions for Program Verification",Son Ho; Aymeric Fromherz; Jonathan Protzenko,https://doi.org/10.1145/3607844,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,3.0,openalex_author_id,A5018186543,first,False,False,,,1.0,1
1,4,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,ICFP,ICFP,False,0,3.0,12.0,25.0,W4386317219,"Modularity, Code Specialization, and Zero-Cost Abstractions for Program Verification",Son Ho; Aymeric Fromherz; Jonathan Protzenko,https://doi.org/10.1145/3607844,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,1.0,openalex_author_id,A5018186543,first,False,False,,,1.0,1
1,6,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,OOPSLA,OOPSLA2,False,0,2.0,12.0,16.666666666666664,W4387667038,Complete First-Order Reasoning for Properties of Functional Programs,Adithya Murali; Lucas Peña; Ranjit Jhala; P. Madhusudan,https://doi.org/10.1145/3622835,W2491721896,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2016.0,7.0,openalex_author_id,A5018186543,last,False,False,,,1.0,1
1,6,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,OOPSLA,OOPSLA2,False,0,2.0,12.0,16.666666666666664,W4387674103,Melocoton: A Program Logic for Verified Interoperability Between OCaml and C,Armaël Guéneau; Johannes Hostert; Simon Spies; Michael Sammler; Lars Birkedal; Derek Dreyer,https://doi.org/10.1145/3622823,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,3.0,openalex_author_id,A5018186543,first,False,False,,,1.0,1
1,7,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,PLDI,PLDI,True,0,3.0,12.0,25.0,W4379536454,Cakes That Bake Cakes: Dynamic Computation in CakeML,Thomas Sewell; Magnus O. Myreen; Yong Kiam Tan; Ramana Kumar; Alexander Mihajlovic; Oskar Abrahamsson; Scott Owens,https://doi.org/10.1145/3591266,W2839528116,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,4.0,openalex_author_id,A5018186543,middle,False,False,,,1.0,1
1,7,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,PLDI,PLDI,True,0,3.0,12.0,25.0,W4379536176,Flux: Liquid Types for Rust,Nico Lehmann; Adam T. Geller; Niki Vazou; Ranjit Jhala,https://doi.org/10.1145/3591283,W2491721896,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2016.0,7.0,openalex_author_id,A5018186543,last,False,False,,,1.0,1
1,7,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,PLDI,PLDI,True,0,3.0,12.0,25.0,W4366850868,Modular Hardware Design with Timeline Types,Rachit Nigam; Pedro H. Azevedo de Amorim; Adrian Sampson,https://doi.org/10.1145/3591234,W3033189783,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,3.0,openalex_author_id,A5018186543,middle,False,False,,,1.0,1
1,5,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,POPL,POPL,False,1,4.0,12.0,33.33333333333333,W4315606552,Dargent: A Silver Bullet for Verified Data Layout Refinement,Zilin Chen; Ambroise Lafont; Liam O’Connor; Gabriele Keller; Craig McLaughlin; Vincent Jackson; Christine Rizkallah,https://doi.org/10.1145/3571240,W2966873892,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,4.0,openalex_author_id,A5018186543,middle,False,False,,,1.0,1
1,5,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,POPL,POPL,False,1,4.0,12.0,33.33333333333333,W4315630763,DimSum: A Decentralized Approach to Multi-language Semantics and Verification,Michael Sammler; Simon Spies; Youngju Song; Emanuele D’Osualdo; Robbert Krebbers; Deepak Garg; Derek Dreyer,https://doi.org/10.1145/3571220,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,3.0,openalex_author_id,A5018186543,first,False,False,,,1.0,1
1,5,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,POPL,POPL,False,1,4.0,12.0,33.33333333333333,W4310884974,Formally Verified Native Code Generation in an Effectful JIT: Turning the CompCert Backend into a Formally Verified JIT Compiler,Aurèle Barrière; Sandrine Blazy; David Pichardie,https://doi.org/10.1145/3571202,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,3.0,openalex_author_id,A5018186543,first,False,False,,,1.0,1
1,5,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,POPL,POPL,False,1,4.0,12.0,33.33333333333333,W4310557242,Top-Down Synthesis for Library Learning,Matthew L. Bowers; Theo Olausson; Lionel Wong; Gabriel Grand; Joshua B. Tenenbaum; Kevin Ellis; Armando Solar-Lezama,https://doi.org/10.1145/3571234,W2620747331,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2017.0,6.0,openalex_author_id,A5018186543,middle,False,False,,,1.0,1
1,8,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,ICFP,ICFP,False,1,1.0,20.0,5.0,W4401597262,A Coq Mechanization of JavaScript Regular Expression Semantics,Noé De Santo; Aurèle Barrière; Clément Pit-Claudel,https://doi.org/10.1145/3674666,W4399851420,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2024.0,0.0,openalex_author_id,A5018186543,last,True,True,A5018186543; A5041214466,Aurèle Barrière; Clément Pit-Claudel,1.0,1
1,10,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,OOPSLA,OOPSLA2,False,0,2.0,20.0,10.0,W4403205104,"StarMalloc: Verifying a Modern, Hardened Memory Allocator",Antonin Reitz; Aymeric Fromherz; Jonathan Protzenko,https://doi.org/10.1145/3689773,W2839528116,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,5.0,openalex_author_id,A5018186543,middle,False,True,A5055019834,Aseem Rastogi; Chris Hawblitzel; Clément Pit-Claudel; Cătălin Hriţcu; Danel Ahman; Guido Martínez; Jonathan Protzenko; Monal Narasimhamurthy; Nick Giannarakis; Nikhil Swamy; Tahina Ramananandro; Victor Dumitrescu; Zoe Paraskevopoulou,1.0,1
1,10,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,OOPSLA,OOPSLA1,False,0,2.0,20.0,10.0,W4396214235,VeriEQL: Bounded Equivalence Verification for Complex SQL Queries with Integrity Constraints,Yang He; P. Zhao; Xinyu Wang; Yuepeng Wang,https://doi.org/10.1145/3649849,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,10.0,openalex_author_id,A5018186543,middle,False,False,,,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399850917,A Verified Compiler for a Functional Tensor Language,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3656390,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,10.0,openalex_author_id,A5018186543,middle,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Jason Gross,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399850917,A Verified Compiler for a Functional Tensor Language,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3656390,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,4.0,openalex_author_id,A5018186543,first,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Jason Gross; Peng Wang,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399850917,A Verified Compiler for a Functional Tensor Language,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3656390,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,False,True,A5078100439,Adam Chlipala; Andres Erbsen; Clément Pit-Claudel; Dustin Jamner; Jade Philipoom,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399872376,Daedalus: Safer Document Parsing,Iavor S. Diatchki; Mike Dodds; Harrison Goldstein; Bill Harris; David A. Holland; Benoît Razet; Cole Schlesinger; Simon Winwood,https://doi.org/10.1145/3656410,W2966873892,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,5.0,openalex_author_id,A5018186543,middle,False,False,,,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399851201,Foundational Integration Verification of a Cryptographic Server,Andres Erbsen; Jade Philipoom; Dustin Jamner; Ashley Lin; Samuel Gruetter; Clément Pit-Claudel; Adam Chlipala,https://doi.org/10.1145/3656446,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,4.0,openalex_author_id,A5018186543,first,True,True,A5018186543; A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Jason Gross; Peng Wang,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399851201,Foundational Integration Verification of a Cryptographic Server,Andres Erbsen; Jade Philipoom; Dustin Jamner; Ashley Lin; Samuel Gruetter; Clément Pit-Claudel; Adam Chlipala,https://doi.org/10.1145/3656446,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,True,True,A5001020063; A5018186543; A5078100439; A5082766906; A5088839380,Adam Chlipala; Andres Erbsen; Clément Pit-Claudel; Dustin Jamner; Jade Philipoom,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4394653559,IsoPredict: Dynamic Predictive Analysis for Detecting Unserializable Behaviors in Weakly Isolated Data Store Applications,Chujun Geng; Spyros Blanas; Michael D. Bond; Yang Wang,https://doi.org/10.1145/3656391,W2491721896,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2016.0,8.0,openalex_author_id,A5018186543,last,False,False,,,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399851161,Live Verification in an Interactive Proof Assistant,Samuel Gruetter; Viktor Fukala; Adam Chlipala,https://doi.org/10.1145/3656439,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,10.0,openalex_author_id,A5018186543,middle,False,True,A5078100439,Adam Chlipala; Benjamin Delaware; Clément Pit-Claudel; Jason Gross,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399851161,Live Verification in an Interactive Proof Assistant,Samuel Gruetter; Viktor Fukala; Adam Chlipala,https://doi.org/10.1145/3656439,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,False,True,A5078100439,Adam Chlipala; Andres Erbsen; Clément Pit-Claudel; Dustin Jamner; Jade Philipoom,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399850843,Modular Hardware Design of Pipelined Circuits with Hazards,Minseong Jang; J. G. Rhee; Woojin Lee; Shuangshuang Zhao; Jeehoon Kang,https://doi.org/10.1145/3656378,W3033189783,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,4.0,openalex_author_id,A5018186543,middle,False,False,,,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4399872417,The Functional Essence of Imperative Binary Search Trees,Anton Lorenzen; Daan Leijen; Wouter Swierstra; Sam Lindley,https://doi.org/10.1145/3656398,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,False,False,,,1.0,1
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,PLDI,True,1,13.0,20.0,65.0,W4389524964,Verified Extraction from Coq to OCaml,Yannick Forster; Matthieu Sozeau; Nicolas Tabareau,https://doi.org/10.1145/3656379,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,False,False,,,1.0,1
