plot_order,cell_id,researcher_id,name,selected_conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,panel_cell_available,plotted_citation_count,rebuilt_citation_count,count_matches_trace,total_citations,rebuilt_total_citations_raw,total_matches_trace,source_share_pct,pc_status_for_source
1,12,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,ICFP,True,1.0,1.0,True,20.0,20,True,5.0,0.0
1,14,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,OOPSLA,True,9.0,9.0,True,20.0,20,True,45.0,1.0
1,15,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,PLDI,True,5.0,5.0,True,20.0,20,True,25.0,0.0
1,13,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,POPL,True,5.0,5.0,True,20.0,20,True,25.0,1.0
1,16,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,ICFP,False,,,,,0,,,
1,18,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,OOPSLA,False,,,,,0,,,
1,19,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,PLDI,False,,,,,0,,,
1,17,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,POPL,False,,,,,0,,,
2,20,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-2,2023,ICFP,True,3.0,3.0,True,12.0,12,True,25.0,0.0
2,22,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-2,2023,OOPSLA,True,2.0,2.0,True,12.0,12,True,16.666666666666664,0.0
