analysis_group,sample_key,sample_label,split_kind,cohort_key,cohort_label,event_time,event_units,defined_delta_shares,zero_total_citation_years,median_career_age_in_sample,mean_delta_source_share_pp,delta_ci_low_pp,delta_ci_high_pp
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,46,40,6,14.0,0.0,0.0,0.0
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,46,37,7,14.0,3.905,-7.691,16.399
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,0,46,38,6,14.0,6.483,-3.432,15.948
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,1,46,37,4,14.0,-0.671,-11.619,10.68
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,2,46,40,0,14.0,-0.314,-8.844,9.497
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-2,87,67,20,12.0,0.0,0.0,0.0
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-1,87,60,16,12.0,3.119,-5.884,11.608
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,0,87,62,11,12.0,9.196,0.07,17.935
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,1,87,64,6,12.0,5.707,-3.766,15.087
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,2,87,67,4,12.0,-3.113,-10.424,3.845
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,25,19,6,12.0,0.0,0.0,0.0
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,25,16,4,12.0,13.578,-11.293,34.963
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,0,25,18,1,12.0,5.606,-16.289,25.648
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,1,25,19,0,12.0,9.057,-12.898,30.364
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,2,25,19,2,12.0,-4.661,-20.858,10.268
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,46,37,9,12.0,0.0,0.0,0.0
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,46,34,8,12.0,-0.414,-10.382,9.527
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,0,46,34,6,12.0,12.58,2.174,23.318
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,1,46,36,3,12.0,3.19,-7.622,13.74
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,2,46,37,2,12.0,-2.929,-11.944,6.477
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,16,11,5,12.0,0.0,0.0,0.0
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,16,10,4,12.0,-1.6,-22.425,19.258
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,0,16,10,4,12.0,4.151,-16.634,19.45
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,1,16,9,3,12.0,8.704,-20.342,39.67
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,2,16,11,0,12.0,-1.056,-19.257,17.331
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-2,85,74,11,16.0,0.0,0.0,0.0
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-1,85,68,9,16.0,-5.245,-14.072,3.98
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,0,85,72,4,16.0,-1.155,-10.538,7.516
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,1,85,69,7,16.0,-4.468,-12.518,3.689
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,2,85,74,1,16.0,-11.852,-20.884,-3.645
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,21,15,6,16.0,0.0,0.0,0.0
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,21,13,3,16.0,-6.195,-32.223,19.512
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,0,21,14,2,16.0,3.883,-21.266,30.388
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,1,21,14,1,16.0,-5.847,-23.47,9.52
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,2,21,15,1,16.0,-16.998,-38.772,4.736
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,35,33,2,16.0,0.0,0.0,0.0
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,35,30,4,16.0,-10.465,-22.504,2.053
