analysis_group,sample_key,sample_label,split_kind,cohort_key,cohort_label,event_time,event_units,defined_delta_shares,zero_total_citation_years,median_career_age_in_sample,mean_delta_source_share_pp,delta_ci_low_pp,delta_ci_high_pp
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,2,3,3,0,15.0,-20.565,-23.81,-16.429
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,1,1,0,15.0,0.0,0.0,0.0
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,1,1,0,15.0,-46.667,-46.667,-46.667
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,0,1,1,0,15.0,-50.0,-50.0,-50.0
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,1,1,1,0,15.0,-52.941,-52.941,-52.941
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,2,1,1,0,15.0,-50.0,-50.0,-50.0
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-2,84,68,16,16.0,0.0,0.0,0.0
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-1,84,67,10,16.0,-0.694,-9.012,7.027
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,0,84,60,17,16.0,4.245,-5.97,13.693
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,1,84,66,5,16.0,4.101,-5.919,13.375
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,2,84,66,5,16.0,-1.49,-10.583,7.428
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,17,15,2,16.0,0.0,0.0,0.0
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,17,15,1,16.0,0.041,-24.645,20.367
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,0,17,15,0,16.0,-6.807,-30.377,14.381
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,1,17,15,0,16.0,12.232,-14.79,38.548
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,2,17,15,0,16.0,-12.165,-34.61,8.377
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,40,32,8,16.0,0.0,0.0,0.0
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,40,31,5,16.0,-7.067,-19.005,4.051
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,0,40,26,10,16.0,2.249,-14.247,18.848
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,1,40,32,2,16.0,2.748,-10.247,16.275
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,2,40,31,4,16.0,-5.653,-16.882,6.396
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,27,21,6,16.0,0.0,0.0,0.0
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,27,21,4,16.0,8.188,-0.975,18.019
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,0,27,19,7,16.0,15.701,5.661,26.554
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,1,27,19,3,16.0,-0.042,-10.039,11.504
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,2,27,20,1,16.0,12.97,2.249,25.046
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-2,67,53,14,15.0,0.0,0.0,0.0
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-1,67,52,9,15.0,-4.424,-14.318,5.36
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,0,67,46,14,15.0,2.19,-10.593,14.034
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,1,67,51,4,15.0,6.922,-4.723,17.895
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,2,67,52,4,15.0,-3.213,-12.751,5.897
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,16,14,2,15.0,0.0,0.0,0.0
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,16,14,1,15.0,-1.412,-27.133,20.487
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,0,16,14,0,15.0,-8.055,-32.463,13.374
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,1,16,14,0,15.0,11.384,-18.222,37.655
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,2,16,14,0,15.0,-14.819,-37.401,6.015
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,35,27,8,15.0,0.0,0.0,0.0
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,35,26,5,15.0,-10.198,-22.518,2.571
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,0,35,21,10,15.0,3.466,-16.534,23.603
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,1,35,27,2,15.0,6.276,-8.645,21.234
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,2,35,26,4,15.0,-3.37,-15.376,10.083
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,16,12,4,15.0,0.0,0.0,0.0
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,16,12,3,15.0,4.571,-6.808,17.723
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,0,16,11,4,15.0,12.791,2.951,21.587
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,1,16,10,2,15.0,2.418,-14.993,21.087
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,2,16,12,0,15.0,10.668,-1.26,23.147
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-2,38,26,12,14.0,0.0,0.0,0.0
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-1,38,25,7,14.0,1.217,-12.575,13.935
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,0,38,23,8,14.0,4.673,-13.154,21.891
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,1,38,25,2,14.0,5.6,-11.058,21.922
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,2,38,26,2,14.0,-7.887,-21.937,4.661
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,9,7,2,14.0,0.0,0.0,0.0
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,9,7,1,14.0,7.177,-33.51,37.5
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,0,9,7,0,14.0,-13.458,-46.68,18.586
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,1,9,7,0,14.0,22.151,-22.926,66.877
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,2,9,7,0,14.0,-11.876,-49.405,23.414
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,21,14,7,14.0,0.0,0.0,0.0
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,21,13,4,14.0,-5.238,-16.238,7.724
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,0,21,12,5,14.0,10.682,-19.07,36.579
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,1,21,14,1,14.0,-1.644,-21.613,13.99
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,2,21,14,2,14.0,-14.64,-28.47,-3.24
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,8,5,3,14.0,0.0,0.0,0.0
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,8,5,2,14.0,9.656,-16.215,43.389
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,0,8,4,3,14.0,18.375,10.91,25.686
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,1,8,4,1,14.0,1.987,-7.966,13.094
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,2,8,5,0,14.0,16.606,3.407,34.186
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-2,16,15,1,17.5,0.0,0.0,0.0
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-1,16,13,2,17.5,-2.07,-19.833,16.579
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,0,16,14,2,17.5,-3.364,-19.571,15.84
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,1,16,13,2,17.5,1.031,-16.755,20.962
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,2,16,12,3,17.5,0.404,-21.729,23.687
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,2,1,1,17.5,0.0,0.0,0.0
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,2,1,0,17.5,-54.545,-54.545,-54.545
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,0,2,1,1,17.5,-38.462,-38.462,-38.462
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,1,2,1,0,17.5,-47.368,-47.368,-47.368
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,2,2,1,0,17.5,-75.0,-75.0,-75.0
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,7,7,0,17.5,0.0,0.0,0.0
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,7,5,2,17.5,15.219,-14.813,51.317
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,0,7,7,0,17.5,0.136,-22.736,30.82
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,1,7,5,2,17.5,-8.544,-32.197,11.882
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,2,7,4,3,17.5,27.204,-5.134,73.088
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,7,7,0,17.5,0.0,0.0,0.0
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,7,7,0,17.5,-6.923,-21.433,9.903
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,0,7,6,1,17.5,-1.598,-26.524,19.378
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,1,7,7,0,17.5,14.785,-8.997,41.596
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,2,7,7,0,17.5,-4.138,-21.208,14.208
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-2,11,10,1,17.0,0.0,0.0,0.0
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-1,11,8,2,17.0,-13.259,-30.858,5.062
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,0,11,9,2,17.0,-10.961,-22.546,0.895
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,1,11,9,1,17.0,-4.153,-25.223,21.655
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,2,11,8,2,17.0,3.751,-29.592,37.658
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,2,1,1,17.0,0.0,0.0,0.0
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,2,1,0,17.0,-54.545,-54.545,-54.545
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,0,2,1,1,17.0,-38.462,-38.462,-38.462
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,1,2,1,0,17.0,-47.368,-47.368,-47.368
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,2,2,1,0,17.0,-75.0,-75.0,-75.0
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,5,5,0,17.0,0.0,0.0,0.0
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,5,3,2,17.0,4.651,-15.745,34.444
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,0,5,5,0,17.0,-11.952,-25.574,4.169
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,1,5,4,1,17.0,-16.929,-38.609,-0.738
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,2,5,3,2,17.0,33.494,-11.868,90.0
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,4,4,0,17.0,0.0,0.0,0.0
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,4,4,0,17.0,-16.369,-24.412,-5.952
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,0,4,3,1,17.0,-0.144,-14.719,14.286
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,1,4,4,0,17.0,19.426,-7.955,56.548
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,2,4,4,0,17.0,1.131,-24.412,26.667
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-2,1,1,0,16.0,0.0,0.0,0.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-1,1,1,0,16.0,34.444,34.444,34.444
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,0,1,1,0,16.0,-10.0,-10.0,-10.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,1,1,1,0,16.0,1.111,1.111,1.111
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,2,1,1,0,16.0,90.0,90.0,90.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,0,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,1,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,2,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,1,1,0,16.0,0.0,0.0,0.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,1,1,0,16.0,34.444,34.444,34.444
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,0,1,1,0,16.0,-10.0,-10.0,-10.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,1,1,1,0,16.0,1.111,1.111,1.111
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,2,1,1,0,16.0,90.0,90.0,90.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,0,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,1,0,0,0,16.0,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,2,0,0,0,16.0,,,
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-2,94,89,5,18.0,0.0,0.0,0.0
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-1,94,86,5,18.0,0.547,-6.445,7.425
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,0,94,88,1,18.0,4.312,-2.277,10.87
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,1,94,87,3,18.0,-0.792,-7.978,6.274
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,2,94,86,5,18.0,-2.604,-8.389,3.324
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,13,12,1,18.0,0.0,0.0,0.0
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,13,11,1,18.0,16.915,-4.725,42.293
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,0,13,12,0,18.0,18.424,-0.067,39.014
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,1,13,11,1,18.0,15.853,-7.826,42.078
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,2,13,11,2,18.0,4.353,-7.865,15.49
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,39,36,3,18.0,0.0,0.0,0.0
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,39,36,2,18.0,2.003,-9.58,12.78
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,0,39,36,0,18.0,6.496,-3.633,17.141
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,1,39,35,2,18.0,-0.805,-11.024,9.443
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,2,39,35,2,18.0,0.324,-8.836,9.789
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,42,41,1,18.0,0.0,0.0,0.0
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,42,39,2,18.0,-5.414,-15.137,4.841
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,0,42,40,1,18.0,-1.887,-11.073,7.148
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,1,42,41,0,18.0,-5.247,-15.231,4.992
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,2,42,40,1,18.0,-7.08,-15.857,2.416
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-2,63,59,4,15.0,0.0,0.0,0.0
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-1,63,56,5,15.0,2.67,-7.493,12.389
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,0,63,58,1,15.0,8.147,-0.805,17.037
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,1,63,58,2,15.0,1.346,-9.396,12.045
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,2,63,57,4,15.0,0.587,-6.932,8.194
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,13,12,1,15.0,0.0,0.0,0.0
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,13,11,1,15.0,16.915,-4.725,42.293
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,0,13,12,0,15.0,18.424,-0.067,39.014
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,1,13,11,1,15.0,15.853,-7.826,42.078
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,2,13,11,2,15.0,4.353,-7.865,15.49
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,34,31,3,15.0,0.0,0.0,0.0
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,34,31,2,15.0,2.396,-11.048,14.535
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,0,34,31,0,15.0,8.476,-3.106,19.953
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,1,34,31,1,15.0,-1.548,-13.681,10.284
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,2,34,30,2,15.0,2.254,-8.152,12.359
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,16,16,0,15.0,0.0,0.0,0.0
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,16,14,2,15.0,-7.915,-25.077,13.137
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,0,16,15,1,15.0,-0.754,-20.578,16.12
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,1,16,16,0,15.0,-3.019,-23.12,18.852
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,2,16,16,0,15.0,-5.126,-18.511,11.646
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-2,23,21,2,12.0,0.0,0.0,0.0
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-1,23,19,3,12.0,8.385,-8.939,24.381
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,0,23,21,0,12.0,16.35,5.351,27.532
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,1,23,21,0,12.0,10.051,-7.024,27.929
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,2,23,21,1,12.0,2.569,-7.556,13.124
