plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,citation_count,total_citations,source_share,source_share_pct,pc_status_for_source
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,2,2021,POPL,0.0,12.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,2,2021,OOPSLA,0.0,12.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,2,2021,PLDI,12.0,12.0,1.0,100.0,1.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-2,2022,ICFP,0.0,18.0,0.0,0.0,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-2,2022,POPL,0.0,18.0,0.0,0.0,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-2,2022,OOPSLA,11.0,18.0,0.6111111111111112,61.111111111111114,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-2,2022,PLDI,7.0,18.0,0.3888888888888889,38.88888888888889,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-1,2023,ICFP,4.0,19.0,0.21052631578947367,21.052631578947366,1.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-1,2023,POPL,1.0,19.0,0.05263157894736842,5.263157894736842,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-1,2023,OOPSLA,14.0,19.0,0.7368421052631579,73.68421052631578,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-1,2023,PLDI,0.0,19.0,0.0,0.0,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,0,2024,ICFP,8.0,45.0,0.17777777777777778,17.77777777777778,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,0,2024,POPL,16.0,45.0,0.35555555555555557,35.55555555555556,1.0
