analysis_group,sample_key,sample_label,split_kind,cohort_key,cohort_label,event_units,defined_pc_year_deltas,zero_total_citation_pc_years,median_career_age_in_sample,mean_pc_year_share_pct,mean_baseline_share_pct,mean_delta_source_share_pp,median_delta_source_share_pp
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,3,3,0,15.0,40.824,58.761,-17.937,-28.615
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,1,1,0,15.0,50.0,100.0,-50.0,-50.0
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,84,60,17,16.0,38.986,34.692,4.245,7.897
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,17,15,0,16.0,30.188,34.353,-6.807,10.662
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,40,26,10,16.0,42.15,41.386,2.249,3.802
PLDI 2021 onward,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,27,19,7,16.0,41.721,24.734,15.701,16.742
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,67,46,14,15.0,37.5,35.63,2.19,7.897
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,16,14,0,15.0,30.236,35.468,-8.055,6.25
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,35,21,10,15.0,42.632,41.16,3.466,4.68
PLDI 2021 onward,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,16,11,4,15.0,36.492,23.378,12.791,16.742
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,38,23,8,14.0,42.355,34.801,4.673,8.966
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,9,7,0,14.0,25.247,31.633,-13.458,0.0
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,21,12,5,14.0,51.989,40.14,10.682,5.515
PLDI 2021 onward,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,8,4,3,14.0,42.322,24.288,18.375,18.829
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,16,14,2,17.5,26.513,28.997,-3.364,-11.968
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,2,1,1,17.5,61.538,100.0,-38.462,-38.462
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,7,7,0,17.5,26.705,26.569,0.136,-13.935
PLDI before 2021,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,7,6,1,17.5,20.452,21.281,-1.598,7.143
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,11,9,2,17.0,23.46,32.646,-10.961,-13.935
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,2,1,1,17.0,61.538,100.0,-38.462,-38.462
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,5,5,0,17.0,20.245,32.197,-11.952,-13.935
PLDI before 2021,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,4,3,1,17.0,16.126,16.369,-0.144,0.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,1,1,0,16.0,0.0,10.0,-10.0,-10.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,0,0,0,16.0,,,,
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,1,1,0,16.0,0.0,10.0,-10.0,-10.0
PLDI before 2021,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,0,0,0,16.0,,,,
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,94,88,1,18.0,36.919,31.693,4.312,0.0
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,13,12,0,18.0,49.085,26.417,18.424,15.682
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,39,36,0,18.0,34.213,27.79,6.496,3.436
POPL,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,42,40,1,18.0,35.636,36.664,-1.887,-0.483
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,63,58,1,15.0,39.466,30.074,8.147,3.713
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,13,12,0,15.0,49.085,26.417,18.424,15.682
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,34,31,0,15.0,36.023,27.807,8.476,6.872
POPL,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,16,15,1,15.0,38.935,37.208,-0.754,-2.5
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,23,21,0,12.0,45.46,23.916,16.35,17.647
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,7,6,0,12.0,47.633,20.985,17.921,15.682
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,14,13,0,12.0,46.582,26.751,15.722,17.647
POPL,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,2,2,0,12.0,30.0,14.286,15.714,15.714
