event_definition,conference,event_time,mean,ci_lower,ci_upper,n_event_units
balanced_no_followup_pc_t1_t2,ICFP,-2,-0.11320754716981132,-0.5425707547169811,0.3208726415094333,106
balanced_no_followup_pc_t1_t2,ICFP,-1,0.11320754716981132,-0.32087264150943395,0.5425707547169806,106
balanced_no_followup_pc_t1_t2,ICFP,0,0.3490566037735849,-0.30672169811320754,1.0141509433962264,106
balanced_no_followup_pc_t1_t2,ICFP,1,-0.2358490566037736,-1.2170990566037736,0.6557783018867919,106
balanced_no_followup_pc_t1_t2,ICFP,2,0.20754716981132076,-0.5755896226415094,0.9529481132075466,106
balanced_no_followup_pc_t1_t2,OOPSLA,-2,0.6428571428571429,-0.0958333333333333,1.4285714285714286,21
balanced_no_followup_pc_t1_t2,OOPSLA,-1,-0.6428571428571429,-1.4285714285714286,0.09583333333333008,21
balanced_no_followup_pc_t1_t2,OOPSLA,0,2.2142857142857144,-0.6666666666666666,5.500595238095235,21
balanced_no_followup_pc_t1_t2,OOPSLA,1,6.119047619047619,2.357142857142857,11.357142857142858,21
balanced_no_followup_pc_t1_t2,OOPSLA,2,1.7380952380952381,-0.14285714285714285,3.738095238095238,21
balanced_no_followup_pc_t1_t2,PLDI,-2,-0.286231884057971,-0.68125,0.09782608695652174,138
balanced_no_followup_pc_t1_t2,PLDI,-1,0.286231884057971,-0.09782608695652174,0.6812499999999996,138
balanced_no_followup_pc_t1_t2,PLDI,0,0.5905797101449275,-0.09429347826086956,1.2826992753623183,138
balanced_no_followup_pc_t1_t2,PLDI,1,0.17028985507246377,-0.536322463768116,0.9311594202898551,138
balanced_no_followup_pc_t1_t2,PLDI,2,0.16304347826086957,-0.6380434782608695,1.0075181159420274,138
balanced_no_followup_pc_t1_t2,POPL,-2,0.6086956521739131,-0.029076086956521734,1.3225543478260866,138
balanced_no_followup_pc_t1_t2,POPL,-1,-0.6086956521739131,-1.322554347826087,0.029076086956521245,138
balanced_no_followup_pc_t1_t2,POPL,0,-0.6811594202898551,-1.5291666666666666,0.19202898550724637,138
balanced_no_followup_pc_t1_t2,POPL,1,-0.13043478260869565,-1.2177536231884059,1.0725543478260866,138
balanced_no_followup_pc_t1_t2,POPL,2,-0.2536231884057971,-1.4203804347826088,0.855072463768116,138
