event_unit_id,researcher_id,name,conference,analysis_conference,pc_year,baseline_source_share,baseline_defined_years,pc_year_source_share,pc_year_delta_source_share,pc_year_citations,pc_year_total_studied_citations,pc_year_source_share_pct,pc_year_delta_source_share_pp
viktorvafeiadis|PLDI|2021,viktorvafeiadis,Viktor Vafeiadis,PLDI,PLDI 2021 onward,2021,0.2459016393442623,1,0.3153846153846154,0.06948297604035308,41.0,130.0,31.538461538461537,6.948297604035308
vineethkashyap|PLDI|2022,vineethkashyap,Vineeth Kashyap,PLDI,PLDI 2021 onward,2022,0.5,1,,,0.0,0.0,,
viveksarkar|PLDI|2021,viveksarkar,Vivek Sarkar,PLDI,PLDI 2021 onward,2021,0.5238095238095238,1,0.625,0.10119047619047616,15.0,24.0,62.5,10.119047619047617
willemvisser|PLDI|2021,willemvisser,Willem Visser,PLDI,PLDI 2021 onward,2021,0.23529411764705882,1,0.4444444444444444,0.2091503267973856,4.0,9.0,44.44444444444444,20.91503267973856
yannickzakowski1|ICFP|2022,yannickzakowski1,Yannick Zakowski,ICFP,ICFP,2022,0.5,1,0.5,0.0,6.0,12.0,50.0,0.0
yannregisgianas|ICFP|2022,yannregisgianas,Yann Régis-Gianas,ICFP,ICFP,2022,0.125,1,0.4,0.275,2.0,5.0,40.0,27.500000000000004
yingfeixiong|PLDI|2023,yingfeixiong,Yingfei Xiong,PLDI,PLDI 2021 onward,2023,0.5,1,0.375,-0.125,6.0,16.0,37.5,-12.5
youyoucong|ICFP|2021,youyoucong,Youyou Cong,ICFP,ICFP,2021,1.0,1,0.5,-0.5,2.0,4.0,50.0,-50.0
yudavidliu|OOPSLA|2019,yudavidliu,Yu David Liu,OOPSLA,OOPSLA,2019,0.0,1,0.5,0.5,1.0,2.0,50.0,50.0
yudavidliu|PLDI|2023,yudavidliu,Yu David Liu,PLDI,PLDI 2021 onward,2023,1.0,1,,,0.0,0.0,,
yufeiding|OOPSLA|2019,yufeiding,Yufei Ding,OOPSLA,OOPSLA,2019,0.5,1,0.6,0.09999999999999998,3.0,5.0,60.0,9.999999999999998
yufeiding|PLDI|2020,yufeiding,Yufei Ding,PLDI,PLDI before 2021,2020,,0,,,0.0,0.0,,
yukiyoshikameyama|ICFP|2023,yukiyoshikameyama,Yukiyoshi Kameyama,ICFP,ICFP,2023,1.0,1,0.5714285714285714,-0.4285714285714286,4.0,7.0,57.14285714285714,-42.85714285714286
zhoulaifu|PLDI|2023,zhoulaifu,Zhoulai Fu,PLDI,PLDI 2021 onward,2023,0.6,1,,,0.0,0.0,,
zoeparaskevopoulou|PLDI|2023,zoeparaskevopoulou,Zoe Paraskevopoulou,PLDI,PLDI 2021 onward,2023,0.0,1,0.5454545454545454,0.5454545454545454,6.0,11.0,54.54545454545454,54.54545454545454
