issue,unique_cited_works,total_issue_citation_links,missing_author_share,median_citations_per_cited_work,mean_citations_per_cited_work
ICFP,7873,13242,0.10732884542105932,1.0,1.681950971675346
POPL,14674,26476,0.11394302848575712,1.0,1.804279678342647
OOPSLA,11289,16803,0.08946762335016388,1.0,1.4884400744087165
OOPSLA1,6268,7656,0.14645820038289725,1.0,1.2214422463305679
OOPSLA2,11475,16196,0.12766884531590414,1.0,1.4114161220043573
PLDI,18049,29794,0.12122555266219735,1.0,1.6507285722200675
