referenced_work_id,fetch_status,has_work,n_authorships,publication_year
W1176541779,fetched_singleton,True,1,2025.0
W117718117,fetched_singleton,True,2,2003.0
W117893563,fetched_singleton,True,3,2005.0
W118031093,fetched_singleton,True,2,2013.0
W118053492,fetched_singleton,True,2,2014.0
W118481696,fetched_singleton,True,1,2010.0
W118485681,fetched_singleton,True,4,2013.0
W118676048,fetched_singleton,True,1,2013.0
W118797093,fetched_singleton,True,3,2014.0
W1188080205,fetched_singleton,True,1,2015.0
W118865363,fetched_singleton,True,5,2014.0
W118877790,fetched_singleton,True,1,2014.0
W1189894384,fetched_singleton,True,1,2015.0
W1190298471,fetched_singleton,True,2,2014.0
W119047162,fetched_singleton,True,1,1905.0
W119062149,fetched_singleton,True,2,2005.0
W1191262899,fetched_singleton,True,3,2015.0
W1191640401,fetched_singleton,True,2,2015.0
W119551458,fetched_singleton,True,2,2012.0
W119572049,fetched_singleton,True,2,2011.0
W119620300,fetched_singleton,True,6,2008.0
W1196275239,fetched_singleton,True,0,1971.0
W1197347346,fetched_singleton,True,2,2015.0
W119761572,fetched_singleton,True,3,2013.0
W1201606221,fetched_singleton,True,4,2016.0
W120333500,fetched_singleton,True,2,1995.0
W120450198,fetched_singleton,True,2,2010.0
W1206239176,fetched_singleton,True,3,2010.0
W120838261,fetched_singleton,True,7,1976.0
W1209505024,fetched_singleton,True,4,2015.0
W121004542,fetched_singleton,True,3,2013.0
W121159850,fetched_singleton,True,22,2013.0
W121172531,fetched_singleton,True,1,2013.0
W1212796596,fetched_singleton,True,2,1994.0
W121297392,fetched_singleton,True,2,2014.0
W1213177963,fetched_singleton,True,3,2015.0
W1214620947,fetched_singleton,True,2,2002.0
W1216450975,fetched_singleton,True,2,2014.0
W1217794466,fetched_singleton,True,3,2011.0
W1219082078,fetched_singleton,True,6,2015.0
W121994753,fetched_singleton,True,4,2012.0
W122051056,fetched_singleton,True,1,2013.0
W1220998442,fetched_singleton,True,3,2013.0
W122387815,fetched_singleton,True,5,2007.0
W122465024,fetched_singleton,True,5,2014.0
W122648455,fetched_singleton,True,3,2002.0
W122683112,fetched_singleton,True,2,2004.0
W122693075,fetched_singleton,True,3,2014.0
W122851984,fetched_singleton,True,2,2011.0
W1230660382,fetched_singleton,True,2,2010.0
W123201289,fetched_singleton,True,3,2011.0
W123411773,fetched_singleton,True,2,2008.0
W123460044,fetched_singleton,True,4,2013.0
W123460966,fetched_singleton,True,4,2012.0
W1236288001,fetched_singleton,True,2,2015.0
W123719442,fetched_singleton,True,3,2012.0
W123744388,fetched_singleton,True,1,1972.0
W124154939,fetched_singleton,True,1,1975.0
W12427088,fetched_singleton,True,4,2012.0
W1243232056,fetched_singleton,True,3,2014.0
W1243432849,fetched_singleton,True,5,2014.0
W1244965290,fetched_singleton,True,3,1996.0
W1245209268,fetched_singleton,True,1,2013.0
W1249296113,fetched_singleton,True,7,2015.0
W124942006,fetched_singleton,True,1,2001.0
W1249613807,fetched_singleton,True,5,2014.0
W124985652,fetched_singleton,True,4,1993.0
W125181918,fetched_singleton,True,3,2003.0
W125251596,fetched_singleton,True,6,2006.0
W1253240651,fetched_singleton,True,2,1998.0
W1253738753,fetched_singleton,True,4,2015.0
W125380414,fetched_singleton,True,2,2002.0
W125598877,fetched_singleton,True,2,2008.0
W1256121109,fetched_singleton,True,2,2007.0
W12570917,fetched_singleton,True,2,2007.0
W1258379981,fetched_singleton,True,2,2015.0
W12586210,fetched_singleton,True,2,1977.0
W125899002,fetched_singleton,True,4,2013.0
W125973810,fetched_singleton,True,3,2013.0
W1260237309,fetched_singleton,True,8,2015.0
W1261671639,fetched_singleton,True,2,2012.0
W126267692,fetched_singleton,True,1,2005.0
W126342326,fetched_singleton,True,2,1978.0
W126407768,fetched_singleton,True,3,2011.0
W126458859,fetched_singleton,True,1,2005.0
W1264845515,fetched_singleton,True,8,2013.0
W1265250368,fetched_singleton,True,5,2012.0
W126590973,fetched_singleton,True,3,2012.0
W126630044,fetched_singleton,True,1,1975.0
W126684958,fetched_singleton,True,1,2001.0
W1267783697,fetched_singleton,True,3,2015.0
W1268528572,fetched_singleton,True,3,2015.0
W12688243,fetched_singleton,True,4,2018.0
W126893914,fetched_singleton,True,2,2012.0
W127238549,fetched_singleton,True,4,2009.0
W1272897,fetched_singleton,True,1,2003.0
W127310174,fetched_singleton,True,4,2001.0
W127565347,fetched_singleton,True,3,1997.0
W12758337,fetched_singleton,True,2,2012.0
W127630583,fetched_singleton,True,1,1986.0
W1276671512,fetched_singleton,True,2,2015.0
W127812855,fetched_singleton,True,0,1993.0
W127828801,fetched_singleton,True,1,1998.0
W127832157,fetched_singleton,True,6,2012.0
W127841344,fetched_singleton,True,1,2000.0
W128101668,fetched_singleton,True,6,2007.0
W12827263,fetched_singleton,True,1,2014.0
W128674190,fetched_singleton,True,2,1996.0
W128738456,fetched_singleton,True,1,1978.0
W128743919,fetched_singleton,True,2,2013.0
W128776564,fetched_singleton,True,3,2014.0
W128869332,fetched_singleton,True,3,2009.0
W129297675,fetched_singleton,True,2,2012.0
W129467524,fetched_singleton,True,3,2011.0
W129674311,fetched_singleton,True,1,1978.0
W129833001,fetched_singleton,True,1,2014.0
W130096246,fetched_singleton,True,6,2013.0
W130537534,fetched_singleton,True,1,1991.0
W130624829,fetched_singleton,True,1,1983.0
W130653142,fetched_singleton,True,4,2013.0
W130766217,fetched_singleton,True,1,1991.0
W13083763,fetched_singleton,True,1,2010.0
W130884383,fetched_singleton,True,2,2010.0
W131069610,fetched_singleton,True,1,1998.0
W131463356,fetched_singleton,True,2,2013.0
W131662869,fetched_singleton,True,1,2001.0
W131831232,fetched_singleton,True,5,2012.0
W13186636,fetched_singleton,True,1,2005.0
W132327467,fetched_singleton,True,2,2006.0
W132992605,not_found,False,0,
W133264370,fetched_singleton,True,3,1995.0
W133701161,fetched_singleton,True,2,1988.0
W133977063,fetched_singleton,True,4,1979.0
W134051198,fetched_singleton,True,4,2013.0
W134285089,fetched_singleton,True,1,2014.0
W134640782,not_found,False,0,
W13464817,fetched_singleton,True,1,1990.0
W134722953,fetched_singleton,True,2,2010.0
W134879198,fetched_singleton,True,2,1987.0
W135237429,fetched_singleton,True,5,2011.0
W135447215,fetched_singleton,True,3,2005.0
W135863099,fetched_singleton,True,1,1995.0
W136002940,fetched_singleton,True,5,2014.0
W136099742,fetched_singleton,True,1,2009.0
W136199325,fetched_singleton,True,1,1987.0
W136425998,fetched_singleton,True,3,2008.0
W136487247,fetched_singleton,True,2,2014.0
W136497439,fetched_singleton,True,3,2013.0
W136533073,fetched_singleton,True,4,2012.0
W1365889,fetched_singleton,True,1,2015.0
W136694243,fetched_singleton,True,5,1982.0
W136934826,fetched_singleton,True,1,1969.0
W137136619,fetched_singleton,True,1,2004.0
W137192327,fetched_singleton,True,2,2007.0
W137420995,fetched_singleton,True,3,2001.0
