title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
demand driven points to analysis for java,2,Demand-driven points-to analysis for Java,W2110833886; W2997088857,2005,156
quantum chemistry in the age of quantum computing,2,Quantum Chemistry in the Age of Quantum Computing,W2906538035; W3099200606,2019,156
sound predictive race detection in polynomial time,2,Sound predictive race detection in polynomial time,W2120476011; W4236306709,2012,155
bridging the gap between programming languages and hardware weak memory models,2,Bridging the gap between programming languages and hardware weak memory models,W2884767181; W3122287721,2019,153
equality saturation,2,Equality saturation,W2152397470; W4246264663,2009,152
taming undefined behavior in llvm,2,Taming undefined behavior in LLVM,W2624178362; W4229901690,2017,152
relational cost analysis,2,Relational cost analysis,W2565334366; W3014043685,"2016, 2017",150
viper a verification infrastructure for permission based reasoning,2,Viper: A Verification Infrastructure for Permission-Based Reasoning,W2294722445; W2785797961,"2015, 2017",150
effective stateless model checking for c c concurrency,2,Effective stateless model checking for C/C++ concurrency,W2778029444; W2899402023,"2017, 2018",148
a verified optimizer for quantum circuits,2,A verified optimizer for Quantum circuits,W2993800728; W4384030121,"2021, 2023",147
compiler validation via equivalence modulo inputs,2,Compiler validation via equivalence modulo inputs,W2170737051; W2997653900,2014,147
scalable verification of probabilistic networks,2,Scalable verification of probabilistic networks,W2939574732; W3100227903,2019,147
synthesizing highly expressive sql queries from input output examples,2,Synthesizing highly expressive SQL queries from input-output examples,W2626990892; W4255584681,2017,147
flashmeta a framework for inductive program synthesis,2,FlashMeta: a framework for inductive program synthesis,W2060610732; W3012572620,2015,146
linear dependent types for differential privacy,2,Linear dependent types for differential privacy,W2027193703; W3013397595,2013,145
verifying higher order programs with the dijkstra monad,2,Verifying higher-order programs with the dijkstra monad,W2008880956; W3211574141,2013,145
a convenient category for higher order probability theory,2,A convenient category for higher-order probability theory,W2573614896; W2949151551,2017,144
pin,2,Pin,W2134633067; W4239813889,2005,144
a practical automatic polyhedral parallelizer and locality optimizer,2,A practical automatic polyhedral parallelizer and locality optimizer,W2034761517; W3151489216,2008,136
a trusted mechanised javascript specification,2,A trusted mechanised JavaScript specification,W2082841864; W4302500405,2014,136
formalizing the llvm intermediate representation for verified program transformations,2,Formalizing the LLVM intermediate representation for verified program transformations,W2167029843; W4298447450,2012,136
modularity for decidability of deductive verification with applications to distributed systems,2,Modularity for decidability of deductive verification with applications to distributed systems,W2808604898; W4245852955,2018,136
optimal dynamic partial order reduction,2,Optimal dynamic partial order reduction,W2008078972; W3009455989,2014,136
abstracting gradual typing,2,Abstracting gradual typing,W2295283668; W4248497488,2016,135
cogent,2,Cogent,W2195119025; W4250423498,2016,135
weakest precondition reasoning for expected run times of probabilistic programs,2,Weakest Precondition Reasoning for Expected Run–Times of Probabilistic Programs,W2222812367; W2952696670,2016,132
common compiler optimisations are invalid in the c11 memory model and what we can do about it,2,Common Compiler Optimisations are Invalid in the C11 Memory Model and what we can do about it,W2000659103; W4231136532,"2014, 2015",130
data centric dynamic partial order reduction,2,Data-centric dynamic partial order reduction,W2528919074; W2898988288,"2016, 2017",130
accelerating search based program synthesis using learned probabilistic models,2,Accelerating search-based program synthesis using learned probabilistic models,W2798628553; W4241222526,2018,128
design and evaluation of gradual typing for python,2,Design and evaluation of gradual typing for python,W2102473657; W4229717394,2014,128
example directed synthesis a type theoretic interpretation,2,Example-directed synthesis: a type-theoretic interpretation,W2263738566; W3107057621,2016,128
do be do be do,2,Do be do be do,W2184230987; W3010302451,"2016, 2017",126
handlers in action,2,Handlers in action,W1971752790; W3010987607,2013,126
into the depths of c elaborating the de facto standards,2,Into the depths of C: elaborating the de facto standards,W2414762192; W4235122555,2016,126
optimizing data structures in high level programs,2,Optimizing data structures in high-level programs,W2008070495; W3017193247,2013,126
pilsner a compositionally verified compiler for a higher order imperative language,2,Pilsner: a compositionally verified compiler for a higher-order imperative language,W2165594098; W3175970536,2015,126
quantitative robustness analysis of quantum programs,2,Quantitative robustness analysis of quantum programs,W2899524259; W3126124413,2019,126
cause i m strong enough reasoning about consistency choices in distributed systems,2,'Cause I'm strong enough: Reasoning about consistency choices in distributed systems,W2282477915; W3015745645,2016,125
engineering formal metatheory,2,Engineering formal metatheory,W2025431400; W3006681445,2008,125
replicated data types,2,Replicated data types,W2143725230; W3023105206,2014,124
a lightweight symbolic virtual machine for solver aided host languages,2,A lightweight symbolic virtual machine for solver-aided host languages,W2057156093; W3011737828,2014,122
type and example directed program synthesis,2,Type-and-example-directed program synthesis,W2013596093; W3009002422,2015,122
spatial a language and compiler for application accelerators,2,Spatial: a language and compiler for application accelerators,W2798482398; W4242052194,2018,121
fiat,2,Fiat,W1976978933; W4256299415,"2014, 2015",120
refinement types for secure implementations,2,Refinement types for secure implementations,W2036961426; W2161011930,"2008, 2011",120
automating string processing in spreadsheets using input output examples,2,Automating string processing in spreadsheets using input-output examples,W2132525863; W4237412827,2011,118
bounded expectations resource analysis for probabilistic programs,2,Bounded expectations: resource analysis for probabilistic programs,W2768683713; W2951490272,2018,117
from datalog to flix a declarative language for fixed points on lattices,2,From Datalog to flix: a declarative language for fixed points on lattices,W2417567569; W3005050519,2016,117
mixed size concurrency arm power c c 11 and sc,2,"Mixed-size concurrency: ARM, POWER, C/C++11, and SC",W2559594945; W4211236556,"2016, 2017",117
a logical relation for monadic encapsulation of state proving contextual equivalences in the presence of runst,2,A logical relation for monadic encapsulation of state: proving contextual equivalences in the presence of runST,W2776685097; W2898876634,"2017, 2018",116
reasoning about recursive probabilistic programs,2,Reasoning about Recursive Probabilistic Programs,W2294463722; W2949339429,2016,116
