canonical_researchr_id,pc_name,mapped_name_for_matching,query_source,candidate_rank,candidate_ref_author_name,manual_decision,manual_notes
colingordon,Colin Gordon,Colin Gordon,mapped_name,6,Donald Gordon,,
colingordon,Colin Gordon,Colin Gordon,original_name,7,A Gordon,,
colingordon,Colin Gordon,Colin Gordon,mapped_name,8,A Gordon,,
colingordon,Colin Gordon,Colin Gordon,original_name,9,J. Gordon,,
colingordon,Colin Gordon,Colin Gordon,mapped_name,10,J. Gordon,,
colingordon,Colin Gordon,Colin Gordon,original_name,11,Mike Gordon,,
colingordon,Colin Gordon,Colin Gordon,mapped_name,12,Mike Gordon,,
cristalopes,Crista Lopes,Crista Lopes,original_name,1,Cristina V. Lopes,acceptandmerge,
cristalopes,Crista Lopes,Crista Lopes,mapped_name,2,Cristina V. Lopes,,
cristalopes,Crista Lopes,Crista Lopes,original_name,3,Cristina Videira Lopes,acceptandmerge,
cristalopes,Crista Lopes,Crista Lopes,mapped_name,4,Cristina Videira Lopes,,
cristalopes,Crista Lopes,Crista Lopes,original_name,5,Antónia Lopes,,
cristalopes,Crista Lopes,Crista Lopes,mapped_name,6,Antónia Lopes,,
danbarowy,Dan Barowy,Dan Barowy,original_name,1,Daniel W. Barowy,accept,
danbarowy,Dan Barowy,Dan Barowy,mapped_name,2,Daniel W. Barowy,,
danbarowy,Dan Barowy,Dan Barowy,original_name,3,Dan Browne,,
danbarowy,Dan Barowy,Dan Barowy,mapped_name,4,Dan Browne,,
danbarowy,Dan Barowy,Dan Barowy,original_name,5,Dan Hao,,
danbarowy,Dan Barowy,Dan Barowy,mapped_name,6,Dan Hao,,
danbarowy,Dan Barowy,Dan Barowy,original_name,7,Dan E. Browne,,
danbarowy,Dan Barowy,Dan Barowy,mapped_name,8,Dan E. Browne,,
danghica,Dan Ghica,Dan Ghica,original_name,1,Dan R. Ghica,acceptandmerge,
danghica,Dan Ghica,Dan Ghica,mapped_name,2,Dan R. Ghica,,
danghica,Dan Ghica,Dan Ghica,original_name,3,"Ghica, Dan R.",acceptandmerge,
danghica,Dan Ghica,Dan Ghica,mapped_name,4,"Ghica, Dan R.",,
danghica,Dan Ghica,Dan Ghica,original_name,5,Dan Hao,,
danghica,Dan Ghica,Dan Ghica,mapped_name,6,Dan Hao,,
danghica,Dan Ghica,Dan Ghica,original_name,7,Dan Gohman,,
danghica,Dan Ghica,Dan Ghica,mapped_name,8,Dan Gohman,,
danghica,Dan Ghica,Dan Ghica,original_name,9,Dan Banica,,
danghica,Dan Ghica,Dan Ghica,original_name,10,Dan Hirsch,,
danghica,Dan Ghica,Dan Ghica,mapped_name,11,Dan Banica,,
danghica,Dan Ghica,Dan Ghica,mapped_name,12,Dan Hirsch,,
danadrachslercohen,Dana Drachsler Cohen,Dana Drachsler Cohen,original_name,1,Dana Drachsler-Cohen,acceptandmerge,
danadrachslercohen,Dana Drachsler Cohen,Dana Drachsler Cohen,mapped_name,2,Dana Drachsler-Cohen,,
danadrachslercohen,Dana Drachsler Cohen,Dana Drachsler Cohen,original_name,3,Dana Drachsler,acceptandmerge,
danadrachslercohen,Dana Drachsler Cohen,Dana Drachsler Cohen,mapped_name,4,Dana Drachsler,,
danfrumin1,Daniel Frumin,Daniel Frumin,original_name,1,Dan Frumin,accept,
danfrumin1,Daniel Frumin,Daniel Frumin,mapped_name,2,Dan Frumin,,
danfrumin1,Daniel Frumin,Daniel Frumin,original_name,3,Daniel Farina,,
danfrumin1,Daniel Frumin,Daniel Frumin,mapped_name,4,Daniel Farina,,
danfrumin1,Daniel Frumin,Daniel Frumin,original_name,5,Daniel Fink,,
danfrumin1,Daniel Frumin,Daniel Frumin,mapped_name,6,Daniel Fink,,
danfrumin1,Daniel Frumin,Daniel Frumin,original_name,7,Florian Daniel,,
danfrumin1,Daniel Frumin,Daniel Frumin,mapped_name,8,Florian Daniel,,
danfrumin1,Daniel Frumin,Daniel Frumin,original_name,9,Daniel Grund,,
danfrumin1,Daniel Frumin,Daniel Frumin,mapped_name,10,Daniel Grund,,
danfrumin1,Daniel Frumin,Daniel Frumin,original_name,11,Daniel Fried,,
danfrumin1,Daniel Frumin,Daniel Frumin,mapped_name,12,Daniel Fried,,
davesands,Dave Sands,Dave Sands,original_name,1,David Sands,acceptandmerge,
davesands,Dave Sands,Dave Sands,mapped_name,2,David Sands,,
davesands,Dave Sands,Dave Sands,original_name,3,D Sands,acceptandmerge,
davesands,Dave Sands,Dave Sands,mapped_name,4,D Sands,,
davesands,Dave Sands,Dave Sands,original_name,5,A. D. Sands,acceptandmerge,
davesands,Dave Sands,Dave Sands,mapped_name,6,A. D. Sands,,
davesands,Dave Sands,Dave Sands,original_name,7,Dave Randall,,
davesands,Dave Sands,Dave Sands,mapped_name,8,Dave Randall,,
davesands,Dave Sands,Dave Sands,original_name,9,Nathaniel Sands,,
davesands,Dave Sands,Dave Sands,mapped_name,10,Nathaniel Sands,,
davesands,Dave Sands,Dave Sands,original_name,11,Dave Bacon,,
davesands,Dave Sands,Dave Sands,mapped_name,12,Dave Bacon,,
davidnaumann,David Naumann,David Naumann,original_name,1,David A. Naumann,accept,
davidnaumann,David Naumann,David Naumann,mapped_name,2,David A. Naumann,,
davidnaumann,David Naumann,David Naumann,original_name,3,David Neau,,
davidnaumann,David Naumann,David Naumann,mapped_name,4,David Neau,,
davidnaumann,David Naumann,David Naumann,original_name,5,David Luan,,
davidnaumann,David Naumann,David Naumann,mapped_name,6,David Luan,,
davidnaumann,David Naumann,David Naumann,original_name,7,David Lehmann,,
davidnaumann,David Naumann,David Naumann,original_name,8,David Widmann,,
davidnaumann,David Naumann,David Naumann,mapped_name,9,David Lehmann,,
davidnaumann,David Naumann,David Naumann,mapped_name,10,David Widmann,,
davidnaumann,David Naumann,David Naumann,original_name,11,Felix Naumann,,
davidnaumann,David Naumann,David Naumann,mapped_name,12,Felix Naumann,,
edwardaftandilian,Eddie Aftandilian,Eddie Aftandilian,original_name,1,Edward Aftandilian,accept,
edwardaftandilian,Eddie Aftandilian,Eddie Aftandilian,mapped_name,2,Edward Aftandilian,,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,original_name,1,Eddy Z. Zhang,acceptandmerge,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,mapped_name,2,Eddy Z. Zhang,,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,original_name,3,Eddy Zhang,acceptandmerge,
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,mapped_name,4,Eddy Zhang,,
